id;name;email;loyalty
1;Assistant;Aubrey45@yahoo.com;Gold
2;Rustic Team-oriented firmware;Graham_Green@hotmail.com;Bronze
3;sky blue Consultant Malta;Myriam80@yahoo.com;Gold
4;full-range;Marisa.Schinner92@hotmail.com;Bronze
5;JBOD;Augustus_Ferry32@yahoo.com;Bronze
6;Awesome Steel Tuna;Ozella.OKeefe81@yahoo.com;Bronze
7;quantifying Handmade;Cristian9@hotmail.com;Gold
8;Accounts Falkland Islands Pound;Novella.Mosciski@hotmail.com;Gold
9;benchmark quantifying Lead;Luciano_Torp@gmail.com;Silver
10;revolutionary Concrete Re-engineered;Arnulfo53@hotmail.com;Silver
